year,main_heading,italic_heading,donee,amount,donee_url
2014,Julia Palmer Award for Library Development,,Brotherhood and Sister Sol,"$5,000",www.Brotherhood-SisterSol.org
2014,Julia Palmer Award for Library Development,,"Center for Educational Options, Inc.","$80,000",
2014,Julia Palmer Award for Library Development,,Coalition for Hispanic Family Services,"$5,000",www.hispanicfamilyservicesny.org
2014,Julia Palmer Award for Library Development,,"Dorothy Bennett Mercy Center,Inc.","$5,000",www.dbmcenter
2014,Julia Palmer Award for Library Development,,"Fiver Children's Foundation, Inc.","$5,000",www.fiver.org
2014,Julia Palmer Award for Library Development,,Henry Street Settlement,"$5,000",www.henrystreet.org
2014,Julia Palmer Award for Library Development,,"Ifetayo Cultural Arts Academy, Inc.","$5,000",www.ifetayo.org
2014,Julia Palmer Award for Library Development,,Point Community Development Corporation,"$5,000",www.thepoint.org
2014,Julia Palmer Award for Library Development,,Queens Community House,"$5,000",www.queenscommunityhouse.org
2014,Julia Palmer Award for Library Development,,Rauschenbusch Metro Ministries,"$5,000",www.metrobaptistchurchnyc.org/rauschenbush/
2014,Julia Palmer Award for Library Development,,"South Asian Youth Action, Inc.","$5,000",www.saya.org
2014,Julia Palmer Award for Library Development,,"Union Settlement Association, Inc.","$5,000",www.unionsettlement.org
2014,Planning & General Operating,,"Center for Educational Options, Inc.","$10,000",
2014,Planning & General Operating,,Community Resource Exchange,"$90,000",www.crenyc.org
2014,Planning & General Operating,,Kennesaw State University Research & Service Foundation,"$200,000",
2014,Planning & General Operating,,National Afterschool Association,"$25,000",http://www.naaweb.org/
2014,Research and Publications,,Teachers College of Columbia University,"$25,000",www.tc.columbia.edu/
2014,Research and Publications,"Edmund A. Stanley, Jr. Research Grants",Michigan State University,"$25,000",
2014,Research and Publications,"Edmund A. Stanley, Jr. Research Grants",University of Pittsburgh,"$25,000",
2014,Technical Support,,"Center for Educational Options, Inc.","$110,000",
2014,Technical Support,,"Center for Educational Options, Inc.","$10,000",
2014,Technical Support,,"Tapfound, Inc./Taproot Foundation","$30,000",www.taprootfoundation.org
